reaction	minimum	maximum
r1825: na1_e + pro_L_e + ser_L_c --> na1_c + pro_L_c + ser_L_e	[1000.]	[0.]
r1966: citr_L_c + na1_e + pro_L_e --> citr_L_e + na1_c + pro_L_c	[1000.]	[0.]
r1833: na1_e + pro_L_e + val_L_c --> na1_c + pro_L_c + val_L_e	[1000.]	[0.]
PROD2: fad_c + pro_L_c --> 1pyr5c_c + fadh2_c + h_c	[1000.]	[0.]
r1591: pro_L_c + ser_L_e <=> pro_L_e + ser_L_c	[1000.]	[0.]
P5CRx: 1pyr5c_c + 2.0 h_c + nadh_c --> nad_c + pro_L_c	[1000.]	[-1000.]
PROt2r: h_e + pro_L_e <=> h_c + pro_L_c	[1000.]	[0.]
r1964: na1_e + orn_c + pro_L_e --> na1_c + orn_e + pro_L_c	[1000.]	[-1000.]
r2066: citr_L_e + pro_L_c --> citr_L_c + pro_L_e	[1000.]	[0.]
r1834: na1_e + pro_L_e + thr_L_c --> na1_c + pro_L_c + thr_L_e	[1000.]	[0.]
r1862: na1_e + pro_L_c + val_L_e --> na1_c + pro_L_e + val_L_c	[1000.]	[0.]
r2034: orn_e + pro_L_c --> orn_c + pro_L_e	[1000.]	[0.]
r1612: pro_L_c + trp_L_e <=> pro_L_e + trp_L_c	[1000.]	[0.]
r1649: pro_L_e + val_L_c <=> pro_L_c + val_L_e	[1000.]	[-1000.]
r1827: na1_e + pro_L_e + trp_L_c --> na1_c + pro_L_c + trp_L_e	[1000.]	[-1000.]
r1835: hom_L_c + na1_e + pro_L_e --> hom_L_e + na1_c + pro_L_c	[1000.]	[0.]
DDRxns045: pro_L_r <=> pro_L_c	[1000.]	[0.]
r1629: pro_L_c + tyr_L_e <=> pro_L_e + tyr_L_c	[0.]	[0.]
r1829: na1_e + pro_L_e + tyr_L_c --> na1_c + pro_L_c + tyr_L_e	[1000.]	[-1000.]
r1786: na1_e + pro_L_c + tyr_L_e --> na1_c + pro_L_e + tyr_L_c	[1000.]	[0.]
r1650: pro_L_e + thr_L_c <=> pro_L_c + thr_L_e	[1000.]	[0.]
PROIMINOtc: cl_e + 2.0 na1_e + pro_L_e --> cl_c + 2.0 na1_c + pro_L_c	[1000.]	[-1000.]
r1756: na1_e + pro_L_c + trp_L_e --> na1_c + pro_L_e + trp_L_c	[1000.]	[0.]
PRO1x: nad_c + pro_L_c --> 1pyr5c_c + 2.0 h_c + nadh_c	[1000.]	[0.]
r1651: hom_L_c + pro_L_e <=> hom_L_e + pro_L_c	[1000.]	[0.]
r1877: na1_e + pro_L_c + thr_L_e --> na1_c + pro_L_e + thr_L_c	[1000.]	[-1000.]
r1892: hom_L_e + na1_e + pro_L_c --> hom_L_c + na1_c + pro_L_e	[1000.]	[0.]
PS_HStg: ps_cho_c <=> ps_cho_g	[1000.]	[0.]
PSt3: ps_cho_e <=> ps_cho_c	[1000.]	[-1000.]
LPSAT: Rtotalcoa_c + lps_cho_c --> coa_c + ps_cho_c	[1000.]	[-1000.]
PS_HSter: ps_cho_c <=> ps_cho_r	[1000.]	[0.]
SERt4: na1_e + ser_L_e --> na1_c + ser_L_c	[1000.]	[-1000.]
SERtN1: h_c + 2.0 na1_e + ser_L_e <=> h_e + 2.0 na1_c + ser_L_c	[1000.]	[0.]
SameRxns041: ser_L_g <=> ser_L_c	[1000.]	[-1000.]
THRSERNaEx: na1_e + ser_L_c + thr_L_e --> na1_c + ser_L_e + thr_L_c	[1000.]	[-1000.]
r2471: h_e + ser_L_e --> h_c + ser_L_c	[1000.]	[0.]
r1588: ser_L_e + tyr_L_c <=> ser_L_c + tyr_L_e	[1000.]	[0.]
r1750: na1_e + ser_L_c + trp_L_e --> na1_c + ser_L_e + trp_L_c	[1000.]	[-1000.]
r0060: ser_L_c --> nh4_c + pyr_c	[1000.]	[0.]
r2059: citr_L_e + ser_L_c --> citr_L_c + ser_L_e	[1000.]	[0.]
SERATB0tc: cl_e + 2.0 na1_e + ser_L_e --> cl_c + 2.0 na1_c + ser_L_c	[1000.]	[0.]
r1723: na1_e + ser_L_e + tyr_L_c --> na1_c + ser_L_c + tyr_L_e	[1000.]	[0.]
SERPT: h_c + pmtcoa_c + ser_L_c --> 3dsphgn_c + co2_c + coa_c	[1000.]	[0.]
r2526: ser_L_e <=> ser_L_c	[1000.]	[0.]
r1728: na1_e + ser_L_e + val_L_c --> na1_c + ser_L_c + val_L_e	[1000.]	[-1000.]
r2027: orn_e + ser_L_c --> orn_c + ser_L_e	[1000.]	[0.]
SERR: ser_L_c <=> ser_D_c	[1000.]	[0.]
SERt7l: ser_L_l --> ser_L_c	[1000.]	[-1000.]
r1435: ser_L_c <=> ser_L_m	[0.]	[0.]
r1780: na1_e + ser_L_c + tyr_L_e --> na1_c + ser_L_e + tyr_L_c	[1000.]	[-1000.]
r1594: ser_L_e + thr_L_c <=> ser_L_c + thr_L_e	[1000.]	[0.]
r1929: na1_e + orn_c + ser_L_e --> na1_c + orn_e + ser_L_c	[1000.]	[-1000.]
r1721: na1_e + ser_L_e + trp_L_c --> na1_c + ser_L_c + trp_L_e	[1000.]	[0.]
r1730: hom_L_c + na1_e + ser_L_e --> hom_L_e + na1_c + ser_L_c	[1000.]	[0.]
SERTHRNaEx: na1_e + ser_L_e + thr_L_c --> na1_c + ser_L_c + thr_L_e	[1000.]	[0.]
r1855: na1_e + ser_L_c + val_L_e --> na1_c + ser_L_e + val_L_c	[1000.]	[0.]
r1593: ser_L_e + val_L_c <=> ser_L_c + val_L_e	[1000.]	[0.]
r1885: hom_L_e + na1_e + ser_L_c --> hom_L_c + na1_c + ser_L_e	[1000.]	[-1000.]
SERtp: ser_L_c <=> ser_L_x	[1000.]	[0.]
r1931: citr_L_c + na1_e + ser_L_e --> citr_L_e + na1_c + ser_L_c	[1000.]	[0.]
SameRxns040: ser_L_r <=> ser_L_c	[1000.]	[0.]
r1595: hom_L_c + ser_L_e <=> hom_L_e + ser_L_c	[1000.]	[-1000.]
r1586: ser_L_e + trp_L_c <=> ser_L_c + trp_L_e	[1000.]	[-1000.]
CYSTSERex: Lcystin_e + ser_L_c --> Lcystin_c + ser_L_e	[1000.]	[-1000.]
SPHMYLNtg: sphmyln_cho_c <=> sphmyln_cho_g	[1000.]	[0.]
SameRxns124: sphmyln_cho_e <=> sphmyln_cho_c	[1000.]	[0.]
SPHMYLNtl: sphmyln_cho_c <=> sphmyln_cho_l	[2.27373675e-13]	[-1000.]
DGAT: Rtotal3coa_c + dag_cho_c --> coa_c + tag_cho_c	[1000.]	[0.]
TAGt: tag_cho_e <=> tag_cho_c	[1000.]	[0.]
THRt4: na1_e + thr_L_e --> na1_c + thr_L_c	[1000.]	[-1000.]
THR3D: nad_c + thr_L_c --> 2aobut_c + h_c + nadh_c	[1000.]	[0.]
r1895: hom_L_e + na1_e + thr_L_c --> hom_L_c + na1_c + thr_L_e	[1000.]	[0.]
r1880: hom_L_c + na1_e + thr_L_e --> hom_L_e + na1_c + thr_L_c	[1000.]	[0.]
r1789: na1_e + thr_L_c + tyr_L_e --> na1_c + thr_L_e + tyr_L_c	[1000.]	[0.]
THRATB0tc: cl_e + 2.0 na1_e + thr_L_e --> cl_c + 2.0 na1_c + thr_L_c	[1000.]	[0.]
r1981: citr_L_c + na1_e + thr_L_e --> citr_L_e + na1_c + thr_L_c	[1000.]	[0.]
r1759: na1_e + thr_L_c + trp_L_e --> na1_c + thr_L_e + trp_L_c	[1000.]	[0.]
THRt7l: thr_L_l --> thr_L_c	[1000.]	[0.]
r2037: orn_e + thr_L_c --> orn_c + thr_L_e	[0.]	[0.]
r1440: thr_L_c --> thr_L_m	[1000.]	[0.]
r1657: thr_L_c + val_L_e <=> thr_L_e + val_L_c	[1000.]	[0.]
r1872: na1_e + thr_L_e + trp_L_c --> na1_c + thr_L_c + trp_L_e	[1000.]	[-1000.]
r1660: hom_L_c + thr_L_e <=> hom_L_e + thr_L_c	[1000.]	[0.]
r1879: na1_e + thr_L_e + val_L_c --> na1_c + thr_L_c + val_L_e	[1000.]	[-1000.]
THRD_L: thr_L_c --> 2obut_c + nh4_c	[1000.]	[0.]
r2069: citr_L_e + thr_L_c --> citr_L_c + thr_L_e	[1000.]	[0.]
r2534: thr_L_e <=> thr_L_c	[1000.]	[0.]
r1632: thr_L_c + tyr_L_e <=> thr_L_e + tyr_L_c	[1000.]	[-1000.]
r1874: na1_e + thr_L_e + tyr_L_c --> na1_c + thr_L_c + tyr_L_e	[1000.]	[-1000.]
r1615: thr_L_c + trp_L_e <=> thr_L_e + trp_L_c	[1000.]	[0.]
r1979: na1_e + orn_c + thr_L_e --> na1_c + orn_e + thr_L_c	[1000.]	[-1000.]
r1864: na1_e + thr_L_c + val_L_e --> na1_c + thr_L_e + val_L_c	[1000.]	[0.]
TRPATB0tc: cl_e + 2.0 na1_e + trp_L_e --> cl_c + 2.0 na1_c + trp_L_c	[1000.]	[0.]
TRPHYDRO2: o2_c + thbpt_c + trp_L_c --> 5htrp_c + thbpt4acam_c	[1000.]	[0.]
TRPt: trp_L_e <=> trp_L_c	[1000.]	[0.]
r1758: na1_e + trp_L_e + val_L_c --> na1_c + trp_L_c + val_L_e	[1000.]	[-1000.]
r1609: trp_L_e + tyr_L_c <=> trp_L_c + tyr_L_e	[1000.]	[0.]
r1782: na1_e + trp_L_c + tyr_L_e --> na1_c + trp_L_e + tyr_L_c	[1000.]	[-1000.]
LTDCL: h_c + trp_L_c --> co2_c + trypta_c	[1000.]	[0.]
TRPO2: o2_c + trp_L_c --> Lfmkynr_c	[1000.]	[0.]
TRPt4: na1_e + trp_L_e --> na1_c + trp_L_c	[1000.]	[0.]
r1941: citr_L_c + na1_e + trp_L_e --> citr_L_e + na1_c + trp_L_c	[1000.]	[0.]
r1760: hom_L_c + na1_e + trp_L_e --> hom_L_e + na1_c + trp_L_c	[1000.]	[0.]
TRPt7l: trp_L_l --> trp_L_c	[1000.]	[0.]
r1939: na1_e + orn_c + trp_L_e --> na1_c + orn_e + trp_L_c	[0.]	[0.]
r1887: hom_L_e + na1_e + trp_L_c --> hom_L_c + na1_c + trp_L_e	[1000.]	[0.]
r1753: na1_e + trp_L_e + tyr_L_c --> na1_c + trp_L_c + tyr_L_e	[1000.]	[0.]
HKYNRtr: hLkynr_e + trp_L_c <=> hLkynr_c + trp_L_e	[1000.]	[0.]
r1616: hom_L_c + trp_L_e <=> hom_L_e + trp_L_c	[1000.]	[-1000.]
r2029: orn_e + trp_L_c --> orn_c + trp_L_e	[1000.]	[-1000.]
r1857: na1_e + trp_L_c + val_L_e --> na1_c + trp_L_e + val_L_c	[1000.]	[0.]
r1614: trp_L_e + val_L_c <=> trp_L_c + val_L_e	[1000.]	[0.]
r2061: citr_L_e + trp_L_c --> citr_L_c + trp_L_e	[1000.]	[-1000.]
TYRt: tyr_L_e <=> tyr_L_c	[1000.]	[0.]
r2063: citr_L_e + tyr_L_c --> citr_L_c + tyr_L_e	[1000.]	[-1000.]
TYR3MO2: o2_c + thbpt_c + tyr_L_c --> 34dhphe_c + thbpt4acam_c	[1000.]	[0.]
TYRt4: na1_e + tyr_L_e --> na1_c + tyr_L_c	[1000.]	[0.]
r1951: citr_L_c + na1_e + tyr_L_e --> citr_L_e + na1_c + tyr_L_c	[1000.]	[0.]
r1790: hom_L_c + na1_e + tyr_L_e --> hom_L_e + na1_c + tyr_L_c	[1000.]	[0.]
r1889: hom_L_e + na1_e + tyr_L_c --> hom_L_c + na1_c + tyr_L_e	[1000.]	[0.]
GapFill-R00737: tyr_L_c <=> T4hcinnm_c + nh4_c	[1000.]	[0.]
TYRDOPO: o2_c + 2.0 tyr_L_c --> 2.0 34dhphe_c	[0.]	[0.]
TYRt7l: tyr_L_l --> tyr_L_c	[1000.]	[0.]
r1078: tyr_L_c --> tyr_L_m	[0.]	[0.]
r1859: na1_e + tyr_L_c + val_L_e --> na1_c + tyr_L_e + val_L_c	[166.66666667]	[6.26898569e-13]
r1949: na1_e + orn_c + tyr_L_e --> na1_c + orn_e + tyr_L_c	[1000.]	[0.]
r1788: na1_e + tyr_L_e + val_L_c --> na1_c + tyr_L_c + val_L_e	[1000.]	[0.]
TYRATB0tc: cl_e + 2.0 na1_e + tyr_L_e --> cl_c + 2.0 na1_c + tyr_L_c	[1000.]	[0.]
r1633: hom_L_c + tyr_L_e <=> hom_L_e + tyr_L_c	[1000.]	[0.]
TYRCBOX: h_c + tyr_L_c --> co2_c + tym_c	[1000.]	[-1000.]
r2031: orn_e + tyr_L_c --> orn_c + tyr_L_e	[1000.]	[0.]
r1631: tyr_L_e + val_L_c <=> tyr_L_c + val_L_e	[1000.]	[0.]
IDHPOXOXb: iodine_c + tyr_L_c --> 3ityr_L_c + h_c + i_c	[1000.]	[-1000.]
PFK_4: s7p_c + utp_c --> h_c + s17bp_c + udp_c	[666.66666667]	[9.6906193e-11]
GALU: g1p_c + h_c + utp_c <=> ppi_c + udpg_c	[1000.]	[0.]
r0409: s7p_c + utp_c --> HC00361_c + h_c + udp_c	[1000.]	[-1000.]
CYTK14: dcmp_c + utp_c <=> dcdp_c + udp_c	[1000.]	[0.]
UTPtm: utp_c <=> utp_m	[1000.]	[-1000.]
CYTK7: cmp_c + utp_c <=> cdp_c + udp_c	[1000.]	[-1000.]
UTPtn: utp_c <=> utp_n	[1000.]	[-1000.]
SameRxns094: utp_m <=> utp_c	[1000.]	[-1000.]
BiGGRxn35: gal1p_c + h_c + utp_c <=> ppi_c + udpgal_c	[1000.]	[-1000.]
UAGALDP: acgal1p_c + h_c + utp_c --> ppi_c + udpacgal_c	[1000.]	[-1000.]
UMPK3: ump_c + utp_c <=> 2.0 udp_c	[2.00452385e-29]	[0.]
UAGDP: acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c	[1000.]	[-1000.]
r0191: f6p_c + utp_c --> fdp_c + h_c + udp_c	[1000.]	[0.]
r0165: h_c + pep_c + udp_c --> pyr_c + utp_c	[1000.]	[0.]
r0892: utp_c <=> utp_e	[1000.]	[0.]
VALt7l: val_L_l --> val_L_c	[1000.]	[-1000.]
r2036: orn_e + val_L_c --> orn_c + val_L_e	[0.]	[0.]
r1974: na1_e + orn_c + val_L_e --> na1_c + orn_e + val_L_c	[1000.]	[0.]
r1894: hom_L_e + na1_e + val_L_c --> hom_L_c + na1_c + val_L_e	[1000.]	[0.]
VALATB0tc: cl_e + 2.0 na1_e + val_L_e --> cl_c + 2.0 na1_c + val_L_c	[1000.]	[0.]
r1658: hom_L_c + val_L_e <=> hom_L_e + val_L_c	[1000.]	[0.]
r1865: hom_L_c + na1_e + val_L_e --> hom_L_e + na1_c + val_L_c	[1000.]	[-1000.]
VALt4: na1_e + val_L_e --> na1_c + val_L_c	[1000.]	[0.]
r1976: citr_L_c + na1_e + val_L_e --> citr_L_e + na1_c + val_L_c	[1000.]	[0.]
VALt5m: val_L_c <=> val_L_m	[1000.]	[0.]
VALtec: val_L_e <=> val_L_c	[1000.]	[-1000.]
r2068: citr_L_e + val_L_c --> citr_L_c + val_L_e	[1000.]	[-1000.]
XOLESTte: xolest_cho_e <=> xolest_cho_c	[1000.]	[0.]
DNDPt12m: adp_m + dadp_c --> adp_c + dadp_m	[0.]	[-1000.]
ADPt4: adp_c + ca2_c --> adp_m + ca2_m	[1000.]	[0.]
ADPtx: adp_c <=> adp_x	[333.33333333]	[0.]
DNDPt18m: adp_m + dudp_c --> adp_c + dudp_m	[1000.]	[-1000.]
BiGGRxn11: amp_c + pppi_c <=> adp_c + ppi_c	[1000.]	[0.]
DNDPt42m: adp_m + dutp_c --> adp_c + dutp_m	[-1.13686838e-13]	[-1000.]
DNDPt21m: adp_m + dtdp_c --> adp_c + dtdp_m	[1000.]	[0.]
r2425: adp_m + dgdp_c --> adp_c + dgdp_m	[1000.]	[0.]
Adpgk: adp_c + glc_D_c --> amp_c + g6p_c + h_c	[1000.]	[0.]
DNDPt30m: adp_m + dcdp_c --> adp_c + dcdp_m	[1000.]	[0.]
OMPDC: h_c + orot5p_c --> co2_c + ump_c	[1000.]	[0.]
GFUCS: gdpddman_c + h_c + nadph_c --> gdpfuc_c + nadp_c	[1000.]	[0.]
3HAO: 3hanthrn_c + o2_c --> cmusa_c + h_c	[666.66666667]	[0.]
RE3051C: cpppg1_c <=> C05769_c + 6.0 h_c	[1000.]	[0.]
DGULND: 3dhguln_c + h_c --> co2_c + xylu_L_c	[0.]	[0.]
RE1525C: CE2418_c + nad_c <=> CE2422_c + h_c + nadh_c	[1000.]	[0.]
RE2477C: CE3087_c + amet_c --> C09209_c + ahcys_c + h_c	[0.]	[0.]
3OAS140: ddcaACP_c + h_c + malACP_c --> 3omrsACP_c + ACP_c + co2_c	[0.]	[0.]
DALAt2r: ala_D_e + h_e <=> ala_D_c + h_c	[166.66666667]	[0.]
DSAT: Rtotalcoa_c + sphgn_c --> coa_c + dhcrm_cho_c + h_c	[1000.]	[-1000.]
GBPS: 13dpg_c + g1p_c --> 3pg_c + g16bp_c + h_c	[1000.]	[0.]
3OAS160: h_c + malACP_c + myrsACP_c --> 3opalmACP_c + ACP_c + co2_c	[0.]	[0.]
3HLYTCL: 34dhphe_c + h_c --> co2_c + dopa_c	[142.85714286]	[0.]
DHFR: dhf_c + h_c + nadph_c <=> nadp_c + thf_c	[1000.]	[0.]
GLCt2_2: glc_D_e + 2.0 h_e --> glc_D_c + 2.0 h_c	[1000.]	[-1000.]
RE2521C: 2.0 CE5538_c + nadph_c <=> 2.0 CE5542_c + h_c + nadp_c	[1000.]	[0.]
L_LACtm: h_c + lac_L_c <=> h_m + lac_L_m	[0.]	[0.]
r0398: dhbpt_c + h_c + nadph_c <=> nadp_c + thbpt_c	[1000.]	[-1000.]
RE2493C: amet_c + cbl2_c --> C06453_c + ahcys_c + 4.0 h_c	[1000.]	[-1000.]
URIK3: itp_c + uri_c --> h_c + idp_c + ump_c	[0.]	[0.]
3OAS180: h_c + malACP_c + palmACP_c --> 3ooctdACP_c + ACP_c + co2_c	[1000.]	[0.]
RE1526C: CE2417_c + nad_c <=> CE2424_c + h_c + nadh_c	[125.]	[0.]
GLCt2r: glc_D_e + h_e --> glc_D_c + h_c	[0.]	[0.]
BTNt2m: btn_c + h_c <=> btn_m + h_m	[1000.]	[0.]
3OAS80: h_c + hexACP_c + malACP_c --> 3ooctACP_c + ACP_c + co2_c	[0.]	[0.]
3OAS60: butACP_c + h_c + malACP_c --> 3ohexACP_c + ACP_c + co2_c	[333.33333333]	[-1.18591589e-12]
RE1527C: CE2420_c + nad_c <=> CE0693_c + h_c + nadh_c	[333.33333333]	[-2.68509258e-13]
RDH1a: nadp_c + retinol_c <=> h_c + nadph_c + retinal_c	[0.]	[0.]
PRODt2rL: h_l + pro_D_l <=> h_c + pro_D_c	[1000.]	[-1000.]
PPDOx: h_c + lald_D_c + nadh_c --> 12ppd_R_c + nad_c	[0.]	[0.]
RDH1: nad_c + retinol_c <=> h_c + nadh_c + retinal_c	[1000.]	[0.]
CREATt: creat_e + h_e <=> creat_c + h_c	[1000.]	[-1000.]
BTNt2: btn_e + h_e <=> btn_c + h_c	[1000.]	[-1000.]
RE3168C: CE4846_c + h_c + nadph_c <=> CE4847_c + nadp_c	[1000.]	[-1000.]
ACETONEt2: acetone_e + h_e <=> acetone_c + h_c	[0.]	[0.]
ACETONEt2m: acetone_c + h_c <=> acetone_m + h_m	[1000.]	[-1000.]
RBT5PDH: h_c + nadh_c + ru5p_D_c <=> nad_c + rbt5p_c	[0.]	[-1000.]
BILIRED: biliverd_c + h_c + nadph_c --> bilirub_c + nadp_c	[0.]	[-1000.]
H2O2syn: h_c + nadph_c + o2_c --> h2o2_c + nadp_c	[1000.]	[0.]
PPCDC: 4ppcys_c + h_c --> co2_c + pan4p_c	[1000.]	[0.]
RE3173C: CE4853_c + h_c + nadph_c <=> CE4855_c + nadp_c	[1000.]	[-1.8664344e-12]
PGCD: 3pg_c + nad_c --> 3php_c + h_c + nadh_c	[0.]	[0.]
RE3169C: CE4852_c + h_c + nadph_c <=> CE4854_c + nadp_c	[1000.]	[0.]
RE3174C: CE4854_c + h_c + malcoa_c --> CE4851_c + co2_c + coa_c	[0.]	[0.]
HMR_2002: C03681_c + nadp_c <=> h_c + nadph_c + prgstrn_c	[0.]	[0.]
DHPR: dhbpt_c + h_c + nadh_c --> nad_c + thbpt_c	[0.]	[0.]
BTNPL: apoC_Lys_c + btamp_c --> amp_c + apoC_Lys_btn_c + h_c	[1000.]	[0.]
PRODt2r: h_e + pro_D_e <=> h_c + pro_D_c	[1000.]	[-6.93437571e-12]
RDH2: nad_c + retinol_9_cis_c <=> h_c + nadh_c + retinal_cis_9_c	[1000.]	[-1000.]
RE3170C: eicostetcoa_c + h_c + malcoa_c --> CE4850_c + co2_c + coa_c	[1000.]	[-1000.]
DHPR2: 5mthf_c + dhbpt_c --> h_c + mlthf_c + thbpt_c	[0.]	[0.]
RE3171C: CE4850_c + h_c + nadph_c <=> CE4848_c + nadp_c	[1000.]	[0.]
SAT1: accoa_c + sprm_c --> N1sprm_c + coa_c + h_c	[0.]	[0.]
RE1846C: CE1589_c + taur_c <=> coa_c + h_c + tdechola_c	[0.]	[0.]
RE0565C: h_c + malcoa_c + stcoa_c --> CE2251_c + co2_c + coa_c	[1000.]	[-1000.]
4MOPt2im: 4mop_c + h_c <=> 4mop_m + h_m	[1000.]	[0.]
ACMAT1: acACP_c + h_c + malACP_c --> ACP_c + actACP_c + co2_c	[1000.]	[-1000.]
RE3477C: h2o_r + txa2_r <=> CE1447_c + 2.0 h_c	[1000.]	[0.]
ACt2r: ac_e + h_e <=> ac_c + h_c	[0.]	[0.]
PGPPT: cdpdag_cho_c + glyc3p_c --> cmp_c + h_c + pgp_cho_c	[1000.]	[-1000.]
RE0512C: CE2421_c + nad_c <=> CE0713_c + h_c + nadh_c	[1000.]	[0.]
AMETEPMT: amet_c + ethamp_c <=> ahcys_c + h_c + mnh4p_c	[0.]	[0.]
RE0581C: 3ohodcoa_c + h_c + nadph_c <=> CE2248_c + nadp_c	[1000.]	[-1000.]
THD1m: h_c + nadh_m + nadp_m --> h_m + nad_m + nadph_m	[0.]	[0.]
G6PDH2r: g6p_c + nadp_c <=> 6pgl_c + h_c + nadph_c	[1000.]	[0.]
r0068: HC01672_c + coa_c --> accoa_c + amp_c + h_c	[1000.]	[-1.5859845e-13]
3SALACBOXL: 3sala_c + 2.0 h_c --> co2_c + hyptaur_c	[1000.]	[0.]
RE0568C: CE2243_c + h_c + nadph_c <=> arachcoa_c + nadp_c	[1000.]	[0.]
SBTD_D2: nad_c + sbt_D_c --> fru_c + h_c + nadh_c	[1000.]	[0.]
GapFill-R07507: ddsmsterol_c + h_c + nadph_c <=> 7dhchsterol_c + nadp_c	[1000.]	[0.]
A4GALTc: galgluside_cho_c + udpgal_c --> h_c + thcrm_cho_c + udp_c	[0.]	[0.]
RE0566C: CE2251_c + h_c + nadph_c <=> CE2247_c + nadp_c	[500.]	[0.]
LTHPTDH: 6pthp_c + h_c + nadph_c --> lthpt_c + nadp_c	[1000.]	[0.]
3SALAOX: 2.0 3sala_c + 2.0 h_c + o2_c --> 2.0 Lcyst_c	[0.]	[0.]
SBTR: glc_D_c + h_c + nadph_c --> nadp_c + sbt_D_c	[1000.]	[0.]
PHPYRtm: h_m + phpyr_m <=> h_c + phpyr_c	[1000.]	[0.]
RE0569C: arachcoa_c + h_c + malcoa_c --> CE2250_c + co2_c + coa_c	[1000.]	[-1000.]
RE0912C: CE2866_c + paps_c --> CE2870_c + h_c + pap_c	[0.]	[0.]
DOGULNO1: 23doguln_c + h2o2_c --> 2.0 h_c + oxa_c + thrnt_c	[1000.]	[0.]
TXB2DH: nad_c + txb2_c --> 11dhtxb2_c + h_c + nadh_c	[0.]	[0.]
GALt2_2: gal_e + 2.0 h_e <=> gal_c + 2.0 h_c	[0.]	[0.]
r1155: 2obut_c + h_c --> 2obut_m + h_m	[1000.]	[-1000.]
ACt2m: ac_c + h_c <=> ac_m + h_m	[1000.]	[0.]
r0082: HC01434_c + h_c <=> akg_c + co2_c	[1000.]	[-1000.]
BUTt2m: but_c + h_c <=> but_m + h_m	[1000.]	[-1000.]
RE0583C: h_c + nadph_c + od2coa_c <=> nadp_c + stcoa_c	[1000.]	[0.]
RE1077C: prostgh2_c <=> CE0737_c + CE1243_c + h_c	[1000.]	[-1000.]
BUTt2r: but_e + h_e <=> but_c + h_c	[0.]	[0.]
NRPPHRSULT: nrpphr_c + paps_c --> h_c + nrpphrsf_c + pap_c	[1000.]	[-1000.]
r1378: HC02121_c + nad_c <=> Sfglutth_c + h_c + nadh_c	[1000.]	[0.]
RE3241C: h_c + hdcoa_c + malcoa_c --> CE5160_c + co2_c + coa_c	[1000.]	[-1000.]
MTHFR3: 2.0 h_c + mlthf_c + nadph_c --> 5mthf_c + nadp_c	[1000.]	[0.]
UDPG3DOPA: dopa_c + udpglcur_c --> dopa3glcur_c + h_c + udp_c	[1000.]	[0.]
TRESULT: paps_c + tre_c <=> h_c + pap_c + tres_c	[0.]	[0.]
RE3340C: CE5329_c + nad_c <=> CE5331_c + h_c + nadh_c	[0.]	[0.]
34DHPHAMT: 34dhpha_c + amet_c --> ahcys_c + h_c + homoval_c	[0.]	[0.]
ALAALAPEPT1tc: alaala_e + h_e --> alaala_c + h_c	[0.]	[0.]
RE3244C: CE5162_c + h_c + nadph_c <=> nadp_c + odecoa_c	[1000.]	[0.]
DARGt2r: arg_D_e + h_e <=> arg_D_c + h_c	[1000.]	[0.]
RE3123C: CE4816_c + h_c + nadph_c <=> CE4824_c + nadp_c	[0.]	[0.]
RE1920C: CE5626_c + amet_c --> CE5627_c + ahcys_c + h_c	[0.]	[0.]
PTRCAT1: accoa_c + ptrc_c --> aprut_c + coa_c + h_c	[0.]	[0.]
DALAt2rL: ala_D_l + h_l <=> ala_D_c + h_c	[0.]	[0.]
NAHCO3_HCLt2: cl_c + h_c + 2.0 hco3_e + na1_e <=> cl_e + h_e + 2.0 hco3_c + na1_c	[0.]	[0.]
FTCD: 5forthf_c + 2.0 h_c --> methf_c + nh4_c	[1000.]	[-1000.]
NAHCO3_HCLt: cl_c + h_c + hco3_e + na1_e <=> cl_e + h_e + hco3_c + na1_c	[1000.]	[0.]
TRITHYRSULFO: 335trithyr_c + paps_c --> h_c + pap_c + triodthysuf_c	[1000.]	[-1000.]
BDMT: chito2pdol_c + gdpmann_c --> gdp_c + h_c + mpdol_c	[1000.]	[0.]
RE3536C: CE6243_c + h_c + nadph_c <=> CE6245_c + nadp_c	[111.11111111]	[1.33654882e-12]
HMGDH: hmgth_c + nad_c <=> Sfglutth_c + h_c + nadh_c	[0.]	[0.]
NP1: h_c + nac_c + r1p_c --> nicrns_c + pi_c	[1000.]	[-1000.]
RE3125C: CE4820_c + h_c + nadph_c <=> CE4818_c + nadp_c	[0.]	[0.]
RE1342C: nad_c + sbt_D_c --> glc_D_c + h_c + nadh_c	[0.]	[0.]
r0357: fru_c + itp_c --> f6p_c + h_c + idp_c	[1000.]	[0.]
ARD1: dhmtp_c + o2_c <=> co_c + for_c + h_c + mtpp_c	[1000.]	[0.]
DASCBR: dhdascb_c + h_c + nadph_c --> ascb_L_c + nadp_c	[0.]	[0.]
NOX: nadph_c + 2.0 o2_c <=> h_c + nadp_c + 2.0 o2s_c	[1000.]	[0.]
RE1921C: CE5626_c <=> CE5629_c + co2_c + 2.0 h_c	[1000.]	[-1000.]
RE3124C: clpndcoa_c + h_c + malcoa_c --> CE4820_c + co2_c + coa_c	[0.]	[0.]
URFGTT: 2ombz_c + amet_c <=> 2ommb_c + ahcys_c + h_c	[0.]	[0.]
RE1923C: C09642_c + amet_c --> CE4890_c + ahcys_c + h_c	[0.]	[0.]
